a_um,b_um,field,V_um3,R_um,D_um,Ss_um2,Sps_um2,sigma_
12.64,8.21,H2,3568.7982517684723,9.480060946631147,18.960121893262293,1129.359274753403,1164.300148210961,0.030938669596694446
14.41,6.0,H2,2172.976806634988,8.035054506676333,16.070109013352667,811.3112878684741,908.1473164863272,0.11935742798829607
13.42,5.6,H2,1762.857384232598,7.493928122671018,14.987856245342035,705.7142884382,789.5535480725399,0.1188005698735144
14.82,8.81,H2,4818.242230511345,10.47771722636693,20.95543445273386,1379.5683142850094,1440.735910837284,0.0443382150190772
12.01,6.0,H2,1811.0653329414438,7.5616255847588425,15.123251169517685,718.5222195840324,773.7789261107891,0.07690326759657617
12.0,4.6,H2,1063.6176087993601,6.332360576976322,12.664721153952645,503.8962623195566,575.0842471093417,0.14127508003748535
11.62,5.0,H2,1216.8435544904466,6.622907847741012,13.245815695482024,551.1975626712799,612.4325070829639,0.11109436717194421
12.4,6.4,H2,2127.5033001718275,7.9786095235818335,15.957219047163667,799.9526586244295,856.1026482866516,0.07019164078881324
14.75,9.79,H2,5921.694702181867,11.223262859835488,22.446525719670976,1582.880515979111,1627.213376578821,0.028007711354187448
11.17,7.0,H2,2292.6505427857355,8.179933086095268,16.359866172190536,840.8322606023208,871.1756852742984,0.03608736973322291
9.36,5.99,H2,1406.7538189544377,6.950933994519096,13.901867989038193,607.1502707680787,627.2031357549062,0.03302784492125732
10.16,4.58,H2,892.7159067330816,5.973216021735931,11.946432043471862,448.3594282299074,493.126198526905,0.09984572081763465
13.58,5.59,H2,1777.5097639913604,7.514633344203461,15.029266688406922,709.6193583533142,796.4042248756141,0.12229777203892223
9.76,6.4,H2,1674.550984651374,7.36664805748207,14.73329611496414,681.9455625889112,702.1530690457394,0.029632140108241334
15.16,6.57,H2,2741.060048308455,8.68180406271123,17.36360812542246,947.1741225126607,1050.7317414318577,0.10933324344258866
12.95,8.77,H2,4172.127427735211,9.986722562099894,19.973445124199788,1253.302292656644,1285.141225521451,0.025404033050412167
12.15,6.98,H2,2479.56634166329,8.396450030551796,16.79290006110359,885.9338170206457,930.3175224546712,0.05009821792702973
11.64,5.24,H2,1338.7644257896145,6.837098731947932,13.674197463895863,587.426543747537,646.2681912466544,0.10016852000546672
15.74,8.77,H2,5070.987313710596,10.657809948713377,21.315619897426753,1427.4003772199285,1506.6531782893483,0.05552247451676884
9.76,4.58,H2,857.5696111924091,5.893775528790775,11.78755105758155,436.512863615128,476.0452317421048,0.09056403928071255
9.76,5.0,H2,1022.0648099678793,6.248799769526243,12.497599539052485,490.6853384639819,525.8690740699337,0.07170325430160451
9.81,5.18,H2,1102.5978369938305,6.408791985509533,12.817583971019067,516.133698591015,550.0225694465956,0.06565909365750255
18.53,11.96,H2,11102.643317292712,13.839251215238987,27.678502430477973,2406.7725510467894,2483.354077910451,0.03181917910371457
23.55,18.93,H2,35349.294346148985,20.359356470326183,40.71871294065237,5208.803293611562,5251.4671822178,0.008190727543611276
10.56,3.81,H2,642.0997175123492,5.351858509400677,10.703717018801354,359.93088179619343,416.92378588166315,0.15834402372214695
11.56,7.37,H2,2630.155460675624,8.563098439428204,17.12619687885641,921.4499211752319,952.3830011063382,0.03357000659531639
9.56,5.58,H2,1246.851980496893,6.676908581862828,13.353817163725656,560.2227281726657,586.7675579200979,0.04738263624900796
10.17,3.79,H2,611.9106080404192,5.266633827618416,10.533267655236832,348.5588488219199,400.5364733858136,0.14912151775681726
14.74,5.98,H2,2207.9460671464462,8.077927490211882,16.155854980423765,819.9922826078247,923.3693616678297,0.12607079511923525
13.55,7.78,H2,3435.4774203753695,9.36050967285787,18.72101934571574,1101.054602935893,1156.3203811988521,0.050193494596540766
10.96,5.98,H2,1641.7292331021063,7.318200559011995,14.63640111802399,673.0052913405328,712.9722944581099,0.059385867588007235
11.96,4.78,H2,1144.657563215895,6.489267210867611,12.978534421735223,529.1772673340978,597.978177882325,0.13001486419632902
13.94,5.61,H2,1837.7105374045657,7.598528535528916,15.197057071057833,725.5525311822677,818.5595592098161,0.12818786239501656
10.17,4.58,H2,893.5945641215984,5.975175095678213,11.950350191356426,448.653579089888,493.55396043241683,0.10007806342169623
15.48,9.33,H2,5644.465893097018,11.045314371916925,22.09062874383385,1533.084266242776,1597.640605772807,0.04210880050856125
10.33,5.66,H2,1386.1869093144194,6.916893061024023,13.833786122048046,601.218016709889,636.4504608735979,0.05860177703342173
13.11,7.86,H2,3392.6291795299953,9.321431116848105,18.64286223369621,1091.8803573191535,1138.7833614187716,0.042956175358605186
16.36,10.78,H2,7963.599860890583,12.388163835701029,24.776327671402058,1928.5182129914735,1984.4006856410174,0.028976896496538673
11.69,5.44,H2,1449.108553293045,7.02000524887122,14.04001049774244,619.2766964922372,676.5369587482794,0.09246313090801084
